ano_eleicao;sigla_partido;nome_coligacao;nome_candidato;nome_municipio
2012;DEM;A FORÇA DO TRABALHO;JOSE ADEMIR PEREIRA DE MORAIS;SANTA LUZIA
2012;DEM;COLIGAÇÃO DE BEM COM O POVO;ADAURIO ALMEIDA;SALGADO DE SÃO FÉLIX
2012;DEM;COLIGAÇÃO PELO BEM DE VARZEA E POR RESPEITO A VOCE;JOSE IVALDO DE MORAIS;VÁRZEA
2012;DEM;COLIGAÇÃO UNIDOS POR CAMALAÚ;JACINTO BEZERRA DA SILVA;CAMALAÚ
2012;DEM;COLIGAÇÃO UNIDOS POR COXIXOLA;GIVALDO LIMEIRA DE FARIAS;COXIXOLA
2012;DEM;CURRAL DE CIMA NO CAMINHO CERTO;NADIR FERNANDES DE FARIAS;CURRAL DE CIMA
2012;DEM;FRENTE POPULAR UMBUZEIRENSE;FRANCISCO ALÍPIO NEVES;SÃO SEBASTIÃO DO UMBUZEIRO
2012;DEM;JUVENTUDE E TRABALHO;EVILASIO FORMIGA LUCENA NETO;SÃO JOSÉ DA LAGOA TAPADA
2012;DEM;O DESENVOLVIMENTO CONTINUA;RAELLYSON RODRIGO OLIVEIRA MONTEIRO;MATO GROSSO
2012;DEM;O TRABALHO CONTINUA;ACACIO ARAUJO DANTAS;PICUÍ
2012;DEM;PARA O POÇO CONTINUAR CRESCENDO;AURILEIDE EGIDIO DE MOURA;POÇO DE JOSÉ DE MOURA
2012;DEM;PAZ, PROGRESSO E UNIÃO;ADAILMA FERNANDES DA SILVA;SERRA DA RAIZ
2012;DEM;POR AMOR A ARAÇAGI;JOSE ALEXANDRINO PRIMO;ARAÇAGI
2012;DEM;POR AMOR A SÃO MAMEDE;FRANCISCO DAS CHAGAS LOPES DE SOUSA;SÃO MAMEDE
2012;DEM;SÃO VICENTE E SERIDÓ NO CAMINHO CERTO;MARIA GRACIETE DO NASCIMENTO DANTAS;SÃO VICENTE DO SERIDÓ
2012;DEM;UMBUZEIRO DA PAZ E DO BEM;THIAGO PESSOA CAMELO;UMBUZEIRO
2012;DEM;UNIÃO POPULAR;CLAUDIA APARECIDA DIAS;MONTE HOREBE
